id,day_ahead_id,time,production,consumption,created_at,updated_at
289,13,0,0.0,2.3492,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
290,13,1,0.0,0.001,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
291,13,2,0.0,2.9232,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
292,13,3,0.0,0.2675,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
293,13,4,0.0,1.5538,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
294,13,5,0.0,3.7627,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
295,13,6,0.0,2.2921,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
296,13,7,0.0,0.1395,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
297,13,8,0.0,0.9671,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
298,13,9,0.0,0.3413,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
299,13,10,0.0,1.9612,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
300,13,11,0.0,1.5289,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
301,13,12,0.0,2.1542,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
302,13,13,0.0,1.1122,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
303,13,14,0.0,1.3667,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
304,13,15,0.0,1.034,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
305,13,16,0.0,1.9661,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
306,13,17,0.0,3.5884,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
307,13,18,0.0,0.322,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
308,13,19,0.0,2.8899,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
309,13,20,0.0,2.7889,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
310,13,21,0.0,1.7453,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
311,13,22,0.0,2.6878,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
312,13,23,0.0,2.5173,2015-06-09 20:56:53 +0300,2015-10-07 15:25:17 +0300
337,15,0,0.0,0.3712,2015-10-14 16:35:14 +0300,2015-10-14 16:35:14 +0300
338,15,1,0.0,1.9572,2015-10-14 16:35:14 +0300,2015-10-14 16:35:14 +0300
339,15,2,0.0,3.0189,2015-10-14 16:35:14 +0300,2015-10-14 16:35:14 +0300
340,15,3,0.0,1.3005,2015-10-14 16:35:14 +0300,2015-10-14 16:35:14 +0300
341,15,4,0.0,1.1645,2015-10-14 16:35:14 +0300,2015-10-14 16:35:14 +0300
342,15,5,0.0,0.0501,2015-10-14 16:35:14 +0300,2015-10-14 16:35:14 +0300
343,15,6,0.0,1.2891,2015-10-14 16:35:14 +0300,2015-10-14 16:35:14 +0300
344,15,7,0.0,2.0665,2015-10-14 16:35:14 +0300,2015-10-14 16:35:14 +0300
345,15,8,0.0,0.9162,2015-10-14 16:35:14 +0300,2015-10-14 16:35:14 +0300
346,15,9,0.0,2.6129,2015-10-14 16:35:14 +0300,2015-10-14 16:35:14 +0300
347,15,10,0.0,0.6974,2015-10-14 16:35:14 +0300,2015-10-14 16:35:14 +0300
348,15,11,0.0,0.13,2015-10-14 16:35:14 +0300,2015-10-14 16:35:14 +0300
349,15,12,0.0,1.6502,2015-10-14 16:35:14 +0300,2015-10-14 16:35:14 +0300
350,15,13,0.0,1.0378,2015-10-14 16:35:15 +0300,2015-10-14 16:35:15 +0300
351,15,14,0.0,0.0542,2015-10-14 16:35:15 +0300,2015-10-14 16:35:15 +0300
352,15,15,0.0,1.6452,2015-10-14 16:35:15 +0300,2015-10-14 16:35:15 +0300
353,15,16,0.0,1.9079,2015-10-14 16:35:15 +0300,2015-10-14 16:35:15 +0300
354,15,17,0.0,1.5351,2015-10-14 16:35:15 +0300,2015-10-14 16:35:15 +0300
355,15,18,0.0,1.0199,2015-10-14 16:35:15 +0300,2015-10-14 16:35:15 +0300
356,15,19,0.0,1.7016,2015-10-14 16:35:15 +0300,2015-10-14 16:35:15 +0300
357,15,20,0.0,0.1598,2015-10-14 16:35:15 +0300,2015-10-14 16:35:15 +0300
358,15,21,0.0,1.9633,2015-10-14 16:35:15 +0300,2015-10-14 16:35:15 +0300
359,15,22,0.0,2.1629,2015-10-14 16:35:15 +0300,2015-10-14 16:35:15 +0300
360,15,23,0.0,0.1637,2015-10-14 16:35:15 +0300,2015-10-14 16:35:15 +0300
361,16,0,0.0,0.6807,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
362,16,1,0.0,1.4406,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
363,16,2,0.0,0.145,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
364,16,3,0.0,2.9498,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
365,16,4,0.0,0.4518,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
366,16,5,0.0,0.9164,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
367,16,6,0.0,0.7576,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
368,16,7,0.0,0.7212,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
369,16,8,0.0,2.6248,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
370,16,9,0.0,3.6714,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
371,16,10,0.0,0.98,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
372,16,11,0.0,1.9252,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
373,16,12,0.0,2.5435,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
374,16,13,0.0,2.7125,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
375,16,14,0.0,0.6259,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
376,16,15,0.0,3.4545,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
377,16,16,0.0,2.2716,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
378,16,17,0.0,3.0727,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
379,16,18,0.0,0.5016,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
380,16,19,0.0,3.7827,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
381,16,20,0.0,1.8113,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
382,16,21,0.0,0.5567,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
383,16,22,0.0,0.334,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
384,16,23,0.0,0.7727,2015-10-14 16:35:44 +0300,2015-10-14 16:35:44 +0300
