Prosumer id	location	vp category	RES type	comm interface		
1	35.508545, 24.016015	domestic		adsl		"{name: ""adsl"
2	37.834419 , 23.796322	school		adsl		
3	37.983715  , 23.729309	school		adsl		
4	38.029222, 23.801853	school		adsl		
5	38.018877, 23.789665	school		adsl		
6	38.009410, 23.776104	school		adsl		
7	38.035644, 23.834726	school		adsl		
8	38.036929, 23.738167	school		adsl		
9	38.044635, 23.769152	school		adsl		
10	38.065316, 23.794386	school		adsl		
11	38.004811, 23.800651	school		adsl		
12	37.969635, 23.761169	school		adsl		
13	37.964357, 23.720829	school		adsl		
14	37.939753, 23.733791	school		adsl		
15	37.953832, 23.693194	school		adsl		
16	37.965539, 23.658089	school		adsl		
17	37.937587, 23.644785	school		adsl		
18	37.920730, 23.710875	school		adsl		
19	37.903665, 23.748297	domestic		adsl		
20	37.949297, 23.749584	domestic		adsl		
21	37.954102, 23.730015	domestic		adsl		
22	37.978259, 23.725466	domestic		adsl		
23	38.000515, 23.712248	domestic		adsl		
24	38.002409, 23.729500	domestic		adsl		
25	38.027767, 23.736195	domestic		adsl		
26	38.041017, 23.691477	domestic		adsl		
27	38.076430, 23.809237	domestic		adsl		
28	38.062375, 23.836016	domestic		adsl		
29	38.020897, 23.824370	domestic		adsl		
30	38.044066, 23.762587	domestic		adsl		
31	38.015671, 23.750914	domestic		adsl		
32	37.985371, 23.743446	domestic		adsl		
33	37.957562, 23.699072	domestic		adsl		
34	37.949576, 23.681991	domestic		adsl		
35	38.047130, 23.799947	sme		adsl		
36	37.990407, 23.727710	sme		adsl		
37	38.000350, 23.746764	sme		adsl		
